公司代码,公司简称,公司全称,英文名称,注册地址,A股代码,A股简称,A股上市日期,A股总股本,A股流通股本,B股代码,B股 简 称,B股上市日期,B股总股本,B股流通股本,地 区,省 份,城 市,所属行业,公司网址
300181,佐力药业,浙江佐力药业股份有限公司,"Zhejiang Jolly Pharmaceutical Co.,LTD",浙江省湖州市德清县武康镇志远路,300181,佐力药业,2011/2/22,"316,800,000","224,788,742",,,,0,0,华东,浙江,湖州市,C 制造业,www.zuoli.com
300182,捷成股份,北京捷成世纪科技股份有限公司,"Beijing Jetsen Technology Co.,Ltd.",北京市海淀区知春路1号学院国际大厦709室,300182,捷成股份,2011/2/22,"465,144,622","225,854,462",,,,0,0,华北,北京,北京市,I 信息技术,www.jetsen.com.cn
300183,东软载波,青岛东软载波科技股份有限公司,"Qingdao Eastsoft Communication Technology Co., Ltd.",山东省青岛市市北区上清路16号甲,300183,东软载波,2011/2/22,"222,699,895","126,174,895",,,,0,0,华东,山东,青岛市,I 信息技术,www.eastsoft.com.cn
300184,力源信息,武汉力源信息技术股份有限公司,"Wuhan P&S Information Technology Co.,Ltd",湖北省武汉市东湖新技术开发区武大园三路5号,300184,力源信息,2011/2/22,"150,075,000","111,125,237",,,,0,0,华中,湖北,武汉市,F 批发零售,www.icbase.com
300185,通裕重工,通裕重工股份有限公司,"Tongyu Heavy Industry Co.,Ltd.",山东省禹城市高新技术产业开发区,300185,通裕重工,2011/3/8,"900,000,000","701,451,301",,,,0,0,华东,山东,德州市,C 制造业,www.tongyuheavy.com
300186,大华农,广东大华农动物保健品股份有限公司,"Guangdong DaHuaNong Animal Health Products Co.,Ltd.",广东省新兴县新城镇东堤北路6号,300186,大华农,2011/3/8,"534,000,000","395,179,287",,,,0,0,华南,广东,云浮市,C 制造业,www.gddhn.com
300187,永清环保,永清环保股份有限公司,"Yonker Environmental Protection Co.,Ltd.",湖南省长沙市浏阳市国家生物医药产业基地(319国道旁),300187,永清环保,2011/3/8,"200,340,000","197,392,500",,,,0,0,华中,湖南,长沙市,N 公共环保,www.yonker.com.cn
300188,美亚柏科,厦门市美亚柏科信息股份有限公司,"Xiamen Meiya Pico Information Co.,LTD.",福建省厦门市软件园二期观日路12号102-402单元,300188,美亚柏科,2011/3/16,"221,706,400","121,679,605",,,,0,0,华东,福建,厦门市,I 信息技术,www.xm-my.com.cn; www.300188.cn
300189,神农大丰,海南神农大丰种业科技股份有限公司,"Grand Agriseeds Technology,Inc.",海南省海口市紫荆路2-1号紫荆信息公寓26A,300189,神农大丰,2011/3/16,"409,600,000","335,628,800",,,,0,0,华南,海南,海口市,A 农林牧渔,www.sndf.com.cn
300190,维尔利,江苏维尔利环保科技股份有限公司,"Jiangsu WELLE Environmental Co.,Ltd",江苏省常州新北区汉江路156号,300190,维尔利,2011/3/16,"155,397,600","63,515,520",,,,0,0,华东,江苏,常州市,N 公共环保,www.jswelle.com.cn
